iter	Passed	Remaining
0	1	137
1	2	132
2	4	131
3	5	122
4	6	127
5	8	126
6	9	131
7	11	132
8	13	133
9	14	134
10	16	134
11	18	133
12	19	132
13	21	132
14	23	131
15	25	132
16	27	133
17	29	133
18	30	130
19	32	129
20	33	127
21	35	126
22	37	125
23	39	123
24	41	123
25	42	121
26	44	120
27	46	119
28	48	117
29	49	116
30	51	114
31	53	113
32	55	111
33	57	110
34	58	108
35	59	106
36	61	104
37	63	103
38	64	101
39	66	100
40	68	98
41	68	95
42	70	93
43	72	92
44	73	90
45	75	88
46	77	86
47	78	85
48	79	83
49	81	81
50	82	79
51	84	78
52	87	77
53	89	75
54	90	73
55	91	72
56	93	70
57	94	68
58	96	67
59	98	65
60	99	63
61	101	62
62	103	60
63	105	59
64	106	57
65	108	55
66	109	54
67	111	52
68	112	50
69	113	48
70	114	46
71	116	45
72	117	43
73	118	41
74	120	40
75	121	38
76	122	36
77	123	34
78	124	33
79	125	31
80	126	29
81	127	28
82	128	26
83	129	24
84	130	23
85	132	21
86	133	19
87	134	18
88	135	16
89	136	15
90	137	13
91	138	12
92	139	10
93	139	8
94	140	7
95	141	5
96	142	4
97	143	2
98	144	1
99	145	0
