iter	Passed	Remaining
0	1	1689
1	3	1535
2	4	1420
3	5	1332
4	6	1322
5	7	1304
6	9	1291
7	10	1255
8	11	1228
9	12	1215
10	13	1203
11	14	1187
12	15	1194
13	17	1206
14	18	1202
15	19	1193
16	20	1201
17	22	1218
18	23	1216
19	24	1210
20	25	1203
21	26	1193
22	28	1190
23	29	1185
24	30	1184
25	31	1190
26	32	1185
27	33	1176
28	34	1169
29	35	1162
30	37	1166
31	38	1163
32	39	1161
33	40	1158
34	41	1156
35	43	1174
36	45	1193
37	47	1197
38	48	1194
39	49	1187
40	50	1180
41	51	1180
42	52	1179
43	54	1174
44	55	1170
45	56	1171
46	58	1177
47	59	1179
48	61	1191
49	62	1196
50	64	1201
51	65	1200
52	67	1199
53	68	1198
54	69	1201
55	71	1200
56	72	1199
57	73	1199
58	75	1203
59	77	1207
60	78	1203
61	79	1200
62	80	1198
63	82	1199
64	83	1199
65	84	1197
66	85	1195
67	86	1191
68	88	1188
69	89	1185
70	91	1191
71	92	1192
72	93	1191
73	95	1189
74	96	1189
75	97	1188
76	98	1185
77	100	1182
78	101	1180
79	102	1178
80	103	1175
81	105	1179
82	106	1174
83	107	1172
84	108	1169
85	110	1169
86	111	1169
87	112	1165
88	113	1164
89	115	1163
90	116	1160
91	117	1159
92	118	1157
93	120	1158
94	121	1158
95	122	1157
96	124	1157
97	125	1157
98	127	1156
99	128	1156
100	129	1153
101	130	1150
102	131	1149
103	133	1148
104	135	1151
105	136	1151
106	137	1151
107	139	1149
108	140	1148
109	141	1146
110	142	1144
111	144	1142
112	145	1140
113	146	1139
114	147	1136
115	149	1138
116	150	1136
117	151	1135
118	153	1135
119	154	1133
120	155	1132
121	156	1129
122	158	1128
123	159	1126
124	160	1124
125	161	1122
126	163	1121
127	164	1122
128	166	1122
129	167	1120
130	168	1121
131	170	1121
132	171	1120
133	173	1118
134	174	1116
135	175	1115
136	177	1115
137	178	1114
138	180	1115
139	181	1115
140	182	1113
141	183	1109
142	184	1107
143	186	1107
144	187	1104
145	188	1103
146	189	1101
147	191	1100
148	192	1098
149	193	1098
150	195	1098
151	196	1097
152	198	1096
153	199	1096
154	200	1093
155	201	1090
156	202	1087
157	203	1084
158	204	1081
159	205	1079
160	206	1075
161	207	1072
162	208	1072
163	210	1071
164	211	1069
165	212	1066
166	213	1065
167	214	1063
168	216	1062
169	217	1060
170	218	1057
171	219	1055
172	220	1052
173	221	1050
174	222	1047
175	223	1048
176	225	1047
177	226	1045
178	227	1043
179	231	1054
180	234	1060
181	235	1059
182	237	1058
183	239	1060
184	240	1059
185	242	1060
186	244	1062
187	246	1063
188	247	1062
189	249	1061
190	250	1061
191	252	1063
192	254	1065
193	255	1063
194	257	1062
195	259	1062
196	261	1064
197	263	1066
198	264	1064
199	265	1062
200	268	1065
201	269	1064
202	270	1063
203	272	1061
204	273	1060
205	274	1058
206	275	1056
207	276	1054
208	278	1053
209	279	1051
210	280	1049
211	282	1050
212	284	1051
213	286	1050
214	287	1048
215	288	1047
216	289	1046
217	291	1045
218	292	1044
219	294	1043
220	295	1042
221	297	1041
222	298	1039
223	299	1037
224	300	1035
225	301	1034
226	303	1032
227	304	1031
228	305	1029
229	307	1027
230	308	1026
231	309	1024
232	310	1023
233	312	1022
234	313	1020
235	314	1018
236	315	1017
237	317	1015
238	318	1012
239	319	1010
240	320	1008
241	321	1006
242	322	1004
243	323	1002
244	324	999
245	325	998
246	327	997
247	328	995
248	329	993
249	330	991
250	331	990
251	333	989
252	334	986
253	335	984
254	336	982
255	337	981
256	338	979
257	339	977
258	341	976
259	342	974
260	343	972
261	344	970
262	345	968
263	347	968
264	348	966
265	349	963
266	350	961
267	351	959
268	352	957
269	353	954
270	354	952
271	355	951
272	356	950
273	358	949
274	359	947
275	360	946
276	361	944
277	363	942
278	364	940
279	365	938
280	366	936
281	367	934
282	368	932
283	369	930
284	371	930
285	372	929
286	373	927
287	374	926
288	376	925
289	377	923
290	378	921
291	378	918
292	380	916
293	380	914
294	381	912
295	382	910
296	383	908
297	385	907
298	386	906
299	387	905
300	389	903
301	390	902
302	391	901
303	393	900
304	394	898
305	395	896
306	396	894
307	397	892
308	398	890
309	399	888
310	400	887
311	401	886
312	403	884
313	404	882
314	405	881
315	406	879
316	407	877
317	408	875
318	409	874
319	410	872
320	411	870
321	412	868
322	413	866
323	414	865
324	416	864
325	417	862
326	418	860
327	419	858
328	420	857
329	421	855
330	422	853
331	423	851
332	424	849
333	425	848
334	426	846
335	427	844
336	428	842
337	429	841
338	430	840
339	432	839
340	433	837
341	434	835
342	435	834
343	436	833
344	438	831
345	439	830
346	440	828
347	441	826
348	442	824
349	443	823
350	444	821
351	445	820
352	446	819
353	448	817
354	449	816
355	450	814
356	451	813
357	452	811
358	453	810
359	454	808
360	455	807
361	457	805
362	458	804
363	459	803
364	461	802
365	462	800
366	463	799
367	464	798
368	466	796
369	467	795
370	467	793
371	468	791
372	470	790
373	471	788
374	472	786
375	473	785
376	474	784
377	475	783
378	477	781
379	478	780
380	479	779
381	480	777
382	481	775
383	482	774
384	484	773
385	485	771
386	486	769
387	487	768
388	488	766
389	489	765
390	491	764
391	492	763
392	492	761
393	494	759
394	495	758
395	496	756
396	497	755
397	498	753
398	499	752
399	500	750
400	501	749
401	502	747
402	504	747
403	505	746
404	506	744
405	507	742
406	509	741
407	510	740
408	511	738
409	512	737
410	513	735
411	514	733
412	515	732
413	516	730
414	517	729
415	518	728
416	520	727
417	521	726
418	522	724
419	523	723
420	524	721
421	525	720
422	527	718
423	528	717
424	529	715
425	530	714
426	530	712
427	531	710
428	532	709
429	534	708
430	535	707
431	536	706
432	538	704
433	539	703
434	540	701
435	541	700
436	542	698
437	543	697
438	544	695
439	545	694
440	546	692
441	547	690
442	548	689
443	550	689
444	551	687
445	552	686
446	553	684
447	554	683
448	555	682
449	556	680
450	557	678
451	558	677
452	559	675
453	560	674
454	561	672
